taxlevel,taxid,taxa,W134-25PVC-3-17_kraken2_bracken_orders.report,W133-25PVC-2-17_kraken2_bracken_orders.report,W132-25PVC-1-17_kraken2_bracken_orders.report,W131-25PET-3-17_kraken2_bracken_orders.report,W130-25PET-2-17_kraken2_bracken_orders.report,W129-25PET-1-17_kraken2_bracken_orders.report,W128-25PE0.6-3-17_kraken2_bracken_orders.report,W127-25PE0.6-2-17_kraken2_bracken_orders.report,W126-25PE0.6-1-17_kraken2_bracken_orders.report,W125-25S-3-17_kraken2_bracken_orders.report,W124-25S-2-17_kraken2_bracken_orders.report,W123-25S-1-17_kraken2_bracken_orders.report,Q66-25S-3-0_kraken2_bracken_orders.report,Q65-25S-2-0_kraken2_bracken_orders.report,Q64-25S-1-0_kraken2_bracken_orders.report,Q63-25PVC-3-11_kraken2_bracken_orders.report,Q62-25PVC-2-11_kraken2_bracken_orders.report,Q61-25PVC-1-11_kraken2_bracken_orders.report,Q60-25PET-3-11_kraken2_bracken_orders.report,Q59-25PET-2-11_kraken2_bracken_orders.report,Q58-25PET-1-11_kraken2_bracken_orders.report,Q57-25PE0.6-3-11_kraken2_bracken_orders.report,Q56-25PE0.6-2-11_kraken2_bracken_orders.report,Q55-25PE0.6-1-11_kraken2_bracken_orders.report,Q54-25S-3-11_kraken2_bracken_orders.report,Q53-25S-2-11_kraken2_bracken_orders.report,Q52-25S-1-11_kraken2_bracken_orders.report,Q51-25PVC-3-3_kraken2_bracken_orders.report,Q50-25PVC-2-3_kraken2_bracken_orders.report,Q49-25PVC-1-3_kraken2_bracken_orders.report,Q48-25PET-3-3_kraken2_bracken_orders.report,Q47-25PET-2-3_kraken2_bracken_orders.report,Q46-25PET-1-3_kraken2_bracken_orders.report,Q45-25PE0.6-3-3_kraken2_bracken_orders.report,Q44-25PE0.6-2-3_kraken2_bracken_orders.report,Q43-25PE0.6-1-3_kraken2_bracken_orders.report,Q42-25S-3-3_kraken2_bracken_orders.report,Q41-25S-2-3_kraken2_bracken_orders.report,Q40-25S-1-3_kraken2_bracken_orders.report,Q34-25PE0.1-2-11_kraken2_bracken_orders.report,Q33-25PE0.1-1-11_kraken2_bracken_orders.report,Q32-25PE0.1-2-3_kraken2_bracken_orders.report,Q31-25PE0.1-1-3_kraken2_bracken_orders.report
C,2811502,          Thermodesulfovibrionia,3.0,2.0,4.0,6.0,3.0,12.0,16.0,10.0,4.0,9.0,6.0,6.0,25.0,27.0,18.0,4.0,2.0,2.0,5.0,,2.0,9.0,,,2.0,11.0,5.0,3.0,8.0,2.0,13.0,,2.0,9.0,7.0,4.0,12.0,12.0,5.0,2.0,4.0,3.0,8.0
O,2811503,            Thermodesulfovibrionales,3.0,2.0,4.0,6.0,3.0,12.0,16.0,10.0,4.0,9.0,6.0,6.0,25.0,27.0,18.0,4.0,2.0,2.0,5.0,,2.0,9.0,,,2.0,11.0,5.0,3.0,8.0,2.0,13.0,,2.0,9.0,7.0,4.0,12.0,12.0,5.0,2.0,4.0,3.0,8.0
P,2818505,        Myxococcota,9548.0,16914.0,14795.0,36063.0,39133.0,40318.0,67928.0,43371.0,23152.0,37933.0,42659.0,42709.0,62463.0,49285.0,53258.0,5375.0,3294.0,5377.0,19467.0,14325.0,8256.0,19036.0,13339.0,8183.0,18161.0,23175.0,17674.0,14460.0,16221.0,23760.0,27537.0,11714.0,21605.0,24431.0,24465.0,21925.0,34372.0,32303.0,36143.0,13698.0,24417.0,11980.0,38111.0
C,2829293,          Vulcanimicrobiia,3.0,2.0,3.0,6.0,,5.0,3.0,,5.0,7.0,5.0,18.0,6.0,10.0,10.0,2.0,,,2.0,6.0,2.0,4.0,5.0,2.0,,10.0,2.0,,3.0,2.0,7.0,2.0,4.0,2.0,2.0,6.0,11.0,7.0,11.0,6.0,8.0,7.0,13.0
C,2840056,      Naldaviricetes,2.0,,3.0,,,,,2.0,,,,,,4.0,2.0,,,,,4.0,,2.0,,,,,,,,,,,,,,,2.0,,,,,,
O,2840070,        Lefavirales,2.0,,3.0,,,,,2.0,,,,,,4.0,2.0,,,,,4.0,,2.0,,,,,,,,,,,,,,,2.0,,,,,,
P1,2840488,          Bacillota incertae sedis,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,2843198,            Miltoncostaeales,1503.0,2007.0,1881.0,2864.0,2903.0,3414.0,5414.0,4008.0,3228.0,4882.0,4586.0,4917.0,14908.0,13053.0,14003.0,1237.0,864.0,1230.0,2577.0,2006.0,1797.0,3035.0,2771.0,2296.0,3449.0,4343.0,3871.0,2252.0,2076.0,2832.0,3613.0,2571.0,3424.0,4568.0,4225.0,4610.0,5878.0,5539.0,6416.0,3213.0,3641.0,2936.0,4814.0
C,2847774,          Atribacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,
O,2847775,            Atribacterales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,
O,2881377,              Pseudanabaenales,15.0,10.0,7.0,22.0,19.0,41.0,35.0,25.0,19.0,21.0,21.0,20.0,149.0,85.0,115.0,,4.0,8.0,23.0,21.0,31.0,35.0,21.0,35.0,14.0,26.0,9.0,9.0,38.0,42.0,57.0,64.0,79.0,70.0,87.0,54.0,67.0,39.0,59.0,14.0,40.0,55.0,58.0
O,2887326,            Moraxellales,455897.0,494187.0,633355.0,4953.0,3076.0,1737.0,6780.0,8453.0,7482.0,1766.0,1593.0,2401.0,20040.0,14387.0,16772.0,1068011.0,1097834.0,1143285.0,6867.0,1016.0,1158.0,14491.0,12520.0,11107.0,1134.0,1552.0,933.0,2222607.0,2448836.0,2215253.0,11488.0,2686.0,2052.0,21600.0,21762.0,16036.0,9823.0,6335.0,2009.0,4488.0,2731.0,10446.0,6080.0
O,2887327,            Kangiellales,,,,,,,,,,,,,17.0,,,,4.0,,,,,14.0,,15.0,,,,,,,,,,,,,,,,,,,
O,2900568,            Candidatus Absconditabacterales,,,,,3.0,3.0,,,,,,,6.0,,,,,,,,2.0,,,,,,2.0,,,,,,,,2.0,,,,,,,,
